Width,P-value,Average_Time_1000_runs
5,0.0,90
5,5.0,92
5,10.0,95
5,15.0,98
5,20.0,102
5,25.0,107
5,30.0,114
5,35.0,120
5,40.0,127
5,45.0,140
5,50.0,152
5,55.0,170
5,60.0,194
5,65.0,231
5,70.0,282
5,75.0,367
5,80.0,513
5,85.0,808
5,90.0,1640
5,95.0,6027
10,0.0,140
10,5.0,145
10,10.0,150
10,15.0,158
10,20.0,165
10,25.0,175
10,30.0,186
10,35.0,199
10,40.0,216
10,45.0,239
10,50.0,265
10,55.0,305
10,60.0,354
10,65.0,429
10,70.0,541
10,75.0,720
10,80.0,1003
10,85.0,1669
10,90.0,3461
10,95.0,12646
15,0.0,190
15,5.0,197
15,10.0,206
15,15.0,216
15,20.0,228
15,25.0,242
15,30.0,258
15,35.0,279
15,40.0,309
15,45.0,337
15,50.0,380
15,55.0,435
15,60.0,514
15,65.0,620
15,70.0,784
15,75.0,1051
15,80.0,1553
15,85.0,2536
15,90.0,5321
15,95.0,20084
20,0.0,240
20,5.0,250
20,10.0,262
20,15.0,275
20,20.0,292
20,25.0,311
20,30.0,333
20,35.0,360
20,40.0,395
20,45.0,436
20,50.0,493
20,55.0,568
20,60.0,677
20,65.0,818
20,70.0,1046
20,75.0,1395
20,80.0,2042
20,85.0,3447
20,90.0,7120
20,95.0,26741
25,0.0,290
25,5.0,302
25,10.0,317
25,15.0,336
25,20.0,353
25,25.0,379
25,30.0,408
25,35.0,442
25,40.0,481
25,45.0,538
25,50.0,613
25,55.0,702
25,60.0,840
25,65.0,1017
25,70.0,1286
25,75.0,1745
25,80.0,2543
25,85.0,4245
25,90.0,9063
25,95.0,33717
30,0.0,340
30,5.0,355
30,10.0,373
30,15.0,394
30,20.0,418
30,25.0,445
30,30.0,479
30,35.0,524
30,40.0,574
30,45.0,636
30,50.0,718
30,55.0,835
30,60.0,1000
30,65.0,1218
30,70.0,1541
30,75.0,2112
30,80.0,3086
30,85.0,5131
30,90.0,10853
30,95.0,41185
35,0.0,390
35,5.0,407
35,10.0,428
35,15.0,451
35,20.0,479
35,25.0,513
35,30.0,556
35,35.0,603
35,40.0,659
35,45.0,739
35,50.0,835
35,55.0,971
35,60.0,1146
35,65.0,1411
35,70.0,1809
35,75.0,2450
35,80.0,3576
35,85.0,6013
35,90.0,12698
35,95.0,48331
40,0.0,440
40,5.0,461
40,10.0,484
40,15.0,511
40,20.0,542
40,25.0,582
40,30.0,625
40,35.0,689
40,40.0,749
40,45.0,841
40,50.0,955
40,55.0,1107
40,60.0,1313
40,65.0,1602
40,70.0,2046
40,75.0,2776
40,80.0,4108
40,85.0,6928
40,90.0,14483
40,95.0,54861
45,0.0,490
45,5.0,513
45,10.0,540
45,15.0,573
45,20.0,607
45,25.0,649
45,30.0,703
45,35.0,762
45,40.0,840
45,45.0,940
45,50.0,1065
45,55.0,1229
45,60.0,1467
45,65.0,1810
45,70.0,2313
45,75.0,3131
45,80.0,4619
45,85.0,7768
45,90.0,16311
45,95.0,61849
50,0.0,540
50,5.0,565
50,10.0,596
50,15.0,631
50,20.0,670
50,25.0,718
50,30.0,775
50,35.0,843
50,40.0,928
50,45.0,1045
50,50.0,1184
50,55.0,1365
50,60.0,1634
50,65.0,2009
50,70.0,2569
50,75.0,3477
50,80.0,5139
50,85.0,8540
50,90.0,18245
50,95.0,69061
55,0.0,590
55,5.0,619
55,10.0,651
55,15.0,688
55,20.0,734
55,25.0,784
55,30.0,849
55,35.0,924
55,40.0,1022
55,45.0,1133
55,50.0,1299
55,55.0,1499
55,60.0,1798
55,65.0,2189
55,70.0,2813
55,75.0,3827
55,80.0,5636
55,85.0,9501
55,90.0,20236
55,95.0,76085
60,0.0,640
60,5.0,671
60,10.0,706
60,15.0,748
60,20.0,796
60,25.0,852
60,30.0,921
60,35.0,1002
60,40.0,1111
60,45.0,1241
60,50.0,1417
60,55.0,1630
60,60.0,1945
60,65.0,2393
60,70.0,3070
60,75.0,4160
60,80.0,6135
60,85.0,10317
60,90.0,21917
60,95.0,83203
65,0.0,690
65,5.0,724
65,10.0,762
65,15.0,806
65,20.0,863
65,25.0,921
65,30.0,995
65,35.0,1087
65,40.0,1202
65,45.0,1343
65,50.0,1524
65,55.0,1780
65,60.0,2105
65,65.0,2605
65,70.0,3325
65,75.0,4544
65,80.0,6647
65,85.0,11109
65,90.0,23851
65,95.0,90330
70,0.0,740
70,5.0,778
70,10.0,817
70,15.0,866
70,20.0,920
70,25.0,987
70,30.0,1069
70,35.0,1165
70,40.0,1285
70,45.0,1441
70,50.0,1635
70,55.0,1900
70,60.0,2269
70,65.0,2790
70,70.0,3591
70,75.0,4822
70,80.0,7146
70,85.0,12026
70,90.0,25643
70,95.0,97109
75,0.0,790
75,5.0,829
75,10.0,873
75,15.0,925
75,20.0,984
75,25.0,1058
75,30.0,1142
75,35.0,1241
75,40.0,1375
75,45.0,1541
75,50.0,1745
75,55.0,2034
75,60.0,2421
75,65.0,2987
75,70.0,3849
75,75.0,5205
75,80.0,7642
75,85.0,12904
75,90.0,27577
75,95.0,104207
80,0.0,840
80,5.0,882
80,10.0,929
80,15.0,984
80,20.0,1046
80,25.0,1121
80,30.0,1216
80,35.0,1315
80,40.0,1465
80,45.0,1635
80,50.0,1873
80,55.0,2170
80,60.0,2602
80,65.0,3193
80,70.0,4085
80,75.0,5553
80,80.0,8219
80,85.0,13840
80,90.0,29207
80,95.0,111364
85,0.0,890
85,5.0,934
85,10.0,983
85,15.0,1044
85,20.0,1108
85,25.0,1193
85,30.0,1292
85,35.0,1406
85,40.0,1554
85,45.0,1741
85,50.0,1985
85,55.0,2306
85,60.0,2742
85,65.0,3389
85,70.0,4347
85,75.0,5888
85,80.0,8692
85,85.0,14635
85,90.0,31032
85,95.0,117998
90,0.0,940
90,5.0,988
90,10.0,1042
90,15.0,1100
90,20.0,1174
90,25.0,1257
90,30.0,1359
90,35.0,1486
90,40.0,1639
90,45.0,1840
90,50.0,2092
90,55.0,2435
90,60.0,2911
90,65.0,3584
90,70.0,4575
90,75.0,6253
90,80.0,9218
90,85.0,15461
90,90.0,32883
90,95.0,125257
95,0.0,990
95,5.0,1039
95,10.0,1096
95,15.0,1159
95,20.0,1238
95,25.0,1325
95,30.0,1438
95,35.0,1568
95,40.0,1732
95,45.0,1938
95,50.0,2200
95,55.0,2572
95,60.0,3061
95,65.0,3772
95,70.0,4833
95,75.0,6572
95,80.0,9698
95,85.0,16304
95,90.0,34838
95,95.0,131599
100,0.0,1040
100,5.0,1092
100,10.0,1152
100,15.0,1220
100,20.0,1301
100,25.0,1393
100,30.0,1508
100,35.0,1647
100,40.0,1816
100,45.0,2033
100,50.0,2323
100,55.0,2692
100,60.0,3221
100,65.0,3964
100,70.0,5136
100,75.0,6939
100,80.0,10243
100,85.0,17207
100,90.0,36773
100,95.0,138604
